"Name","ClassOrMethod","LOC","CC"
"Item","C","883","-"
"init","M","58","6"
"draw","M","45","4"
"update","M","55","8"
"updatePosition","M","5","1"
"getDisplayModelAndChanges","M","120","7"
"getID","M","2","1"
"getType","M","2","1"
"show","M","63","5"
"hide","M","31","3"
"isVisible","M","2","1"
"toFront","M","2","1"
"toBack","M","2","1"
"hasState","M","3","2"
"setState","M","22","4"
"clearStates","M","27","3"
"getStates","M","2","1"
"runWithAnimates","M","26","2"
"drawWithStates","M","81","1"
"getKeyBBox","M","3","2"
"getLocalKeyBBox","M","3","2"
"getBBox","M","26","3"
"stopAnimations","M","25","9"
"updateZoom","M","3","1"
"updateLabelPosition","M","0","1"
"destroy","M","17","3"
